[2023-12-12 13:03:59,575] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/lottery)] [ERROR | models] Unauthorised Access: UserID(2) Username(kyher@mailinator.com) Role(admin) RequestedRole(user) RemoteAddress(127.0.0.1)
[2023-12-12 14:43:48,122] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register_admin)] [INFO | models] User registered with Username(xylily@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-12 14:45:09,213] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register_admin)] [INFO | models] User registered with Username(tomahobymi@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-12 14:49:24,349] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register_admin)] [INFO | models] User registered with Username(vyqobu@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-13 10:22:24,697] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register)] [INFO | models] User registered with Username(kebi@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-13 11:38:19,435] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register)] [INFO | models] User registered with Username(xavuhire@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-13 11:54:01,065] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/register)] [INFO | models] User registered with Username(tosidam@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-13 11:59:10,300] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/login)] [INFO | models] User Logged in with UserID(3) Username(tosidam@mailinator.com) RemoteAddress(127.0.0.1)
[2023-12-13 12:09:34,840] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/login)] [WARNING | views] Invalid log in attempts Username(hohun) RemoteAddress(127.0.0.1)
[2023-12-13 12:09:46,750] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/login)] [WARNING | views] Invalid log in attempts Username(hohun) RemoteAddress(127.0.0.1)
[2023-12-13 12:14:28,456] [RemoteAddress(127.0.0.1) | URL(https://localhost:5000/login)] [WARNING | views] Invalid log in attempts Username(rykijuqoxo) RemoteAddress(127.0.0.1)
[2023-12-13 12:14:46,886] [RemoteAddress(127.0.0.1) | URL(https://localhost:5000/login)] [WARNING | views] Invalid log in attempts Username(qynodo) RemoteAddress(127.0.0.1)
[2023-12-13 12:14:58,264] [RemoteAddress(127.0.0.1) | URL(https://localhost:5000/login)] [WARNING | views] Invalid log in attempts Username(qynodo) RemoteAddress(127.0.0.1)
[2023-12-13 12:16:39,260] [RemoteAddress(127.0.0.1) | URL(https://localhost:5000/login)] [WARNING | views] Invalid log in attempts Username(lokihodyj) RemoteAddress(127.0.0.1)
[2023-12-13 12:16:49,346] [RemoteAddress(127.0.0.1) | URL(https://localhost:5000/login)] [WARNING | views] Invalid log in attempts Username(lokihodyj) RemoteAddress(127.0.0.1)
[2023-12-13 15:46:43,897] [RemoteAddress(127.0.0.1) | URL(https://127.0.0.1:5000/admin)] [ERROR | models] Unauthorised Access: UserID(3) Username(tosidam@mailinator.com) Role(user) RequestedRole(('admin',)) RemoteAddress(127.0.0.1)
